series_id,year,period,period_name,value,state
LAUST350000000000003,2021,M04,April,7.6,New Mexico
LAUST350000000000003,2021,M03,March,7.7,New Mexico
LAUST350000000000003,2021,M02,February,8.2,New Mexico
LAUST350000000000003,2021,M01,January,8.5,New Mexico
LAUST350000000000003,2020,M12,December,8.1,New Mexico
LAUST350000000000003,2020,M11,November,7.9,New Mexico
LAUST350000000000003,2020,M10,October,7.8,New Mexico
LAUST350000000000003,2020,M09,September,8.7,New Mexico
LAUST350000000000003,2020,M08,August,8.5,New Mexico
LAUST350000000000003,2020,M07,July,10.1,New Mexico
LAUST350000000000003,2020,M06,June,9.6,New Mexico
LAUST350000000000003,2020,M05,May,9.3,New Mexico
LAUST350000000000003,2020,M04,April,8.4,New Mexico
LAUST350000000000003,2020,M03,March,6.3,New Mexico
LAUST350000000000003,2020,M02,February,5.1,New Mexico
LAUST350000000000003,2020,M01,January,5.3,New Mexico
LAUST360000000000003,2025,M07,July,4.6,New York
LAUST360000000000003,2025,M06,June,3.8,New York
LAUST360000000000003,2025,M05,May,3.5,New York
LAUST360000000000003,2025,M04,April,3.7,New York
LAUST360000000000003,2025,M03,March,4.1,New York
LAUST360000000000003,2025,M02,February,4.3,New York
LAUST360000000000003,2025,M01,January,4.6,New York
LAUST360000000000003,2024,M12,December,4.2,New York
LAUST360000000000003,2024,M11,November,4.2,New York
LAUST360000000000003,2024,M10,October,4.2,New York
LAUST360000000000003,2024,M09,September,4.0,New York
LAUST360000000000003,2024,M08,August,4.8,New York
LAUST360000000000003,2024,M07,July,4.8,New York
LAUST360000000000003,2024,M06,June,4.3,New York
LAUST360000000000003,2024,M05,May,4.0,New York
LAUST360000000000003,2024,M04,April,3.9,New York
LAUST360000000000003,2024,M03,March,4.3,New York
LAUST360000000000003,2024,M02,February,4.6,New York
LAUST360000000000003,2024,M01,January,4.4,New York
LAUST360000000000003,2023,M12,December,4.0,New York
LAUST360000000000003,2023,M11,November,3.9,New York
LAUST360000000000003,2023,M10,October,4.1,New York
LAUST360000000000003,2023,M09,September,3.9,New York
LAUST360000000000003,2023,M08,August,4.4,New York
LAUST360000000000003,2023,M07,July,4.1,New York
LAUST360000000000003,2023,M06,June,4.0,New York
LAUST360000000000003,2023,M05,May,3.8,New York
LAUST360000000000003,2023,M04,April,3.5,New York
LAUST360000000000003,2023,M03,March,4.1,New York
LAUST360000000000003,2023,M02,February,4.5,New York
LAUST360000000000003,2023,M01,January,4.4,New York
LAUST360000000000003,2022,M12,December,3.8,New York
LAUST360000000000003,2022,M11,November,3.8,New York
LAUST360000000000003,2022,M10,October,3.7,New York
LAUST360000000000003,2022,M09,September,3.6,New York
LAUST360000000000003,2022,M08,August,4.3,New York
LAUST360000000000003,2022,M07,July,4.4,New York
LAUST360000000000003,2022,M06,June,4.2,New York
LAUST360000000000003,2022,M05,May,4.0,New York
LAUST360000000000003,2022,M04,April,4.2,New York
LAUST360000000000003,2022,M03,March,4.8,New York
LAUST360000000000003,2022,M02,February,5.4,New York
LAUST360000000000003,2022,M01,January,5.6,New York
LAUST360000000000003,2021,M12,December,5.0,New York
LAUST360000000000003,2021,M11,November,5.2,New York
LAUST360000000000003,2021,M10,October,5.6,New York
